Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10μF,C_0805_2012Metric,135.0749,-110.7274,-90.0,top
C10,10μF,C_0603_1608Metric,134.5749,-114.965,180.0,top
C11,10μF,C_0603_1608Metric,129.7649,-119.9274,180.0,top
C12,10μF,C_0603_1608Metric,137.9749,-87.2399,0.0,top
C13,10μF,C_0603_1608Metric,134.5749,-113.8274,180.0,top
C14,10μF,C_0603_1608Metric,129.7649,-121.065,180.0,top
C15,0.1μF,C_0402_1005Metric,137.5749,-88.3399,0.0,top
C16,15pF,C_0402_1005Metric,138.4149,-89.5274,0.0,top
C17,15pF,C_0402_1005Metric,139.9149,-91.7274,90.0,top
C18,130pF,C_0402_1005Metric,145.2249,-84.3274,0.0,top
C19,130pF,C_0402_1005Metric,145.1981,-86.5926,0.0,top
C2,10μF,C_0805_2012Metric,130.2649,-116.8274,-90.0,top
C21,0.1μF,C_0402_1005Metric,142.1249,-85.3774,90.0,top
C22,0.1μF,C_0402_1005Metric,143.3249,-122.3274,90.0,top
C23,5.6pF,C_0402_1005Metric,133.4149,-85.6274,110.0,top
C24,47pF,C_0402_1005Metric,159.2049,-87.2274,-90.0,top
C25,47pF,C_0402_1005Metric,154.8049,-87.2274,-90.0,top
C26,47pF,C_0402_1005Metric,150.6149,-87.2274,-90.0,top
C27,15pF,C_0402_1005Metric,157.7049,-86.6274,180.0,top
C28,15pF,C_0402_1005Metric,153.3049,-86.6274,180.0,top
C29,15pF,C_0402_1005Metric,149.1149,-86.6274,180.0,top
C3,10μF,C_0603_1608Metric,134.0249,-106.2274,-90.0,top
C30,0.1μF,C_0402_1005Metric,139.5231,-119.9716,0.0,top
C31,0.1μF,C_0402_1005Metric,152.5281,-124.3982,180.0,top
C32,0.1μF,C_0402_1005Metric,161.7991,-124.1696,180.0,top
C36,47nF,C_0402_1005Metric,147.0521,-125.3606,90.0,top
C38,47nF,C_0402_1005Metric,149.0841,-125.3606,-90.0,top
C39,47nF,C_0402_1005Metric,150.3541,-125.3606,90.0,top
C4,0.1μF,C_0402_1005Metric,134.8499,-95.0524,45.0,top
C40,0.1μF,C_0402_1005Metric,140.4011,-104.6036,-90.0,top
C41,0.1μF,C_0402_1005Metric,156.3381,-90.0036,180.0,top
C42,47nF,C_0402_1005Metric,154.5181,-124.9796,90.0,top
C43,1nF,C_0402_1005Metric,157.0851,-125.1066,-90.0,top
C44,0.1μF,C_0402_1005Metric,174.8011,-106.6036,-90.0,top
C45,0.1μF,C_0402_1005Metric,140.4011,-116.4036,-90.0,top
C46,47nF,C_0402_1005Metric,158.1011,-125.1066,90.0,top
C47,0.1μF,C_0402_1005Metric,174.8011,-112.4036,90.0,top
C48,0.1μF,C_0402_1005Metric,174.8011,-99.4036,90.0,top
C49,47nF,C_0402_1005Metric,161.8857,-126.9034,0.0,top
C5,0.1μF,C_0402_1005Metric,134.1149,-98.5274,135.0,top
C50,0.1μF,C_0402_1005Metric,169.5181,-90.0036,0.0,top
C51,0.1μF,C_0402_1005Metric,140.4011,-109.8036,-90.0,top
C52,15pF,C_0402_1005Metric,163.5919,-87.9774,-90.0,top
C53,0.1μF,C_0402_1005Metric,140.4011,-102.0036,-90.0,top
C54,15pF,C_0402_1005Metric,168.0919,-87.9906,90.0,top
C55,0.1μF,C_0402_1005Metric,140.4011,-96.4036,-90.0,top
C56,0.1μF,C_0402_1005Metric,153.0361,-90.0036,180.0,top
C57,0.1μF,C_0402_1005Metric,174.8011,-118.8036,90.0,top
C6,130pF,C_0402_1005Metric,131.6749,-113.6274,90.0,top
C7,130pF,C_0402_1005Metric,126.8649,-119.7274,90.0,top
C8,0.1μF,C_0402_1005Metric,134.4749,-112.7274,170.0,top
C9,0.1μF,C_0402_1005Metric,129.6649,-118.8274,170.0,top
FB1,BLM15BD221SN1D,L_0402_1005Metric,157.7181,-87.5926,180.0,top
FB2,BLM15BD221SN1D,L_0402_1005Metric,153.3181,-87.5926,180.0,top
FB3,BLM15BD221SN1D,L_0402_1005Metric,149.1181,-87.5926,180.0,top
J2,217179-0001,2171790001_MOL_650876,129.9797,-103.0274,-90.0,top
L1,470nH,L_1008_2520Metric,137.3749,-111.8274,-90.0,top
L2,470nH,L_1008_2520Metric,132.5649,-117.9274,-90.0,top
Q1,PUMH13-QF,SOT-363_SC-70-6,130.9249,-95.4274,0.0,top
R1,5.1k,R_0402_1005Metric,127.2181,-96.4926,90.0,top
R10,75Ω,R_0402_1005Metric,153.8149,-88.6274,0.0,top
R11,75Ω,R_0402_1005Metric,149.6249,-88.6274,0.0,top
R12,150Ω,R_0402_1005Metric,149.4331,-90.0036,0.0,top
R13,3kΩ,R_0402_1005Metric,148.0681,-125.3606,90.0,top
R14,75Ω,R_0402_1005Metric,156.0691,-125.1066,-90.0,top
R15,200Ω,R_0402_1005Metric,154.5181,-126.7576,90.0,top
R16,75Ω,R_0402_1005Metric,152.8941,-126.7576,0.0,top
R17,200Ω,R_0402_1005Metric,158.1011,-126.8846,90.0,top
R18,75Ω,R_0402_1005Metric,156.5263,-127.3418,0.0,top
R19,200Ω,R_0402_1005Metric,159.9807,-126.878,0.0,top
R2,5.1k,R_0402_1005Metric,128.3181,-96.4926,90.0,top
R20,75Ω,R_0402_1005Metric,159.5489,-125.481,-90.0,top
R21,4.7kΩ,R_0402_1005Metric,172.7823,-122.3568,180.0,top
R22,1MΩ,R_0402_1005Metric,166.1181,-89.8926,0.0,top
R3,316kΩ,R_0402_1005Metric,132.5749,-113.6274,90.0,top
R4,100kΩ,R_0402_1005Metric,132.5749,-112.2274,0.0,top
R5,150kΩ,R_0402_1005Metric,127.7649,-119.7274,90.0,top
R6,100kΩ,R_0402_1005Metric,127.7649,-118.3274,0.0,top
R7,33Ω,R_0402_1005Metric,145.2249,-85.3274,0.0,top
R8,33Ω,R_0402_1005Metric,145.1981,-87.5926,0.0,top
R9,75Ω,R_0402_1005Metric,158.2149,-88.6274,0.0,top
RN1,EXB-28V123JX,R_Array_Convex_4x0402,127.4249,-91.3274,0.0,top
RN2,EXB-28V123JX,R_Array_Convex_4x0402,127.4249,-88.2274,180.0,top
U1,TPS62825DMQR,TPS62825DMQT,132.8999,-110.7274,0.0,top
U2,TPS62825DMQR,TPS62825DMQT,128.0899,-116.8274,0.0,top
U3,CH343P,QFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm,136.7249,-97.0274,-45.0,top
U4,ESP8285,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,132.7249,-90.0774,-90.0,top
U5,74LVC2G17GW-Q100H,SOT65P210X110-6N,142.1249,-87.9774,90.0,top
U6,SI5351A,MSOP-10_3x3mm_P0.5mm,139.5231,-122.2576,0.0,top
Y1,26MHz 10pF 2520,Crystal_SMD_2520-4Pin_2.5x2.0mm,137.9149,-91.7274,-90.0,top
Y2,25MHz 10pF 2520,Crystal_SMD_2520-4Pin_2.5x2.0mm,134.8181,-121.9926,90.0,top
Y3,27MHz 10pF 2520,Crystal_SMD_2520-4Pin_2.5x2.0mm,165.8181,-87.9774,0.0,top
